subject,predicate,object,type,source_url,category,subcategory
He,act,as,general,http://darksouls.wikidot.com/marvellous-chester,NPCs_Marvellous_Chester,Marvellous Chester
Most,find,for,general,http://darksouls.wikidot.com/marvellous-chester,NPCs_Marvellous_Chester,Marvellous Chester
three,rise,daggers,general,http://darksouls.wikidot.com/marvellous-chester,NPCs_Marvellous_Chester,Marvellous Chester
he,perform,leap,general,http://darksouls.wikidot.com/marvellous-chester,NPCs_Marvellous_Chester,Marvellous Chester
they,engage,you,general,http://darksouls.wikidot.com/marvellous-chester,NPCs_Marvellous_Chester,Marvellous Chester
what,happen,to,general,http://darksouls.wikidot.com/marvellous-chester,NPCs_Marvellous_Chester,Marvellous Chester
You,need,me,general,http://darksouls.wikidot.com/marvellous-chester,NPCs_Marvellous_Chester,Marvellous Chester
You,have,nerve,general,http://darksouls.wikidot.com/marvellous-chester,NPCs_Marvellous_Chester,Marvellous Chester
you,happen,across,general,http://darksouls.wikidot.com/marvellous-chester,NPCs_Marvellous_Chester,Marvellous Chester
you,know,me,general,http://darksouls.wikidot.com/marvellous-chester,NPCs_Marvellous_Chester,Marvellous Chester
you,slay,Artorias,general,http://darksouls.wikidot.com/marvellous-chester,NPCs_Marvellous_Chester,Marvellous Chester
Mwah,believe,it,general,http://darksouls.wikidot.com/marvellous-chester,NPCs_Marvellous_Chester,Marvellous Chester
they,upturne,grave,general,http://darksouls.wikidot.com/marvellous-chester,NPCs_Marvellous_Chester,Marvellous Chester
I,have,enough,general,http://darksouls.wikidot.com/marvellous-chester,NPCs_Marvellous_Chester,Marvellous Chester
We,see,hee,general,http://darksouls.wikidot.com/marvellous-chester,NPCs_Marvellous_Chester,Marvellous Chester
I,see,you,general,http://darksouls.wikidot.com/marvellous-chester,NPCs_Marvellous_Chester,Marvellous Chester
you,feel,heat,general,http://darksouls.wikidot.com/marvellous-chester,NPCs_Marvellous_Chester,Marvellous Chester
Overview,find,within,general,http://darksouls.wikidot.com/blade-of-the-darkmoon,Achievements_Covenant_achievements,Covenant achievements
Members,use,powers,general,http://darksouls.wikidot.com/blade-of-the-darkmoon,Achievements_Covenant_achievements,Covenant achievements
Book,list,players,general,http://darksouls.wikidot.com/blade-of-the-darkmoon,Achievements_Covenant_achievements,Covenant achievements
host,notify,of,general,http://darksouls.wikidot.com/blade-of-the-darkmoon,Achievements_Covenant_achievements,Covenant achievements
invasion,reward,invader,general,http://darksouls.wikidot.com/blade-of-the-darkmoon,Achievements_Covenant_achievements,Covenant achievements
Blade,indict,for,general,http://darksouls.wikidot.com/blade-of-the-darkmoon,Achievements_Covenant_achievements,Covenant achievements
covenant,locate,in,general,http://darksouls.wikidot.com/blade-of-the-darkmoon,Achievements_Covenant_achievements,Covenant achievements
Blade,use,until,general,http://darksouls.wikidot.com/blade-of-the-darkmoon,Achievements_Covenant_achievements,Covenant achievements
they,expel,from,general,http://darksouls.wikidot.com/blade-of-the-darkmoon,Achievements_Covenant_achievements,Covenant achievements
Gwynevere,count,as,general,http://darksouls.wikidot.com/blade-of-the-darkmoon,Achievements_Covenant_achievements,Covenant achievements
Quelaag,come,to,general,http://darksouls.wikidot.com/chaos-servant,Achievements_Covenant_achievements,Covenant achievements
natives,infect,with,general,http://darksouls.wikidot.com/chaos-servant,Achievements_Covenant_achievements,Covenant achievements
game,track,Humanity,general,http://darksouls.wikidot.com/chaos-servant,Achievements_Covenant_achievements,Covenant achievements
you,answer,Talk,general,http://darksouls.wikidot.com/chaos-servant,Achievements_Covenant_achievements,Covenant achievements
